mark,publication_date,file_text,author,title,год попадания,автор/авторы,книга,цикл,аннотация,оценка *,оценка цифрой,этап,№ обзора,Ссылка на выпуск обзора,Ссылка на роман,HC,Перенесено в этот файл из других источников,Комментарии переносов,Редакция строки,автор2,автор3,линк,номер,время,Ссылка на выпуск обзора.1,"год попадания, из исходной редакции, без ""округления""",Unnamed: 22,Unnamed: 23,Unnamed: 24,Служебные отметки,LC,link_domain,num_pers
3.6*131,-,Калашников_Сергей_Лоханка.txt,Калашников Сергей,Лоханка,1929,Калашников Сергей,Лоханка,,Попаданец из 2013 в 1929. Автослесарь из Подмосковья на судоремонтном заводе в Астраханской области (пока - в Астраханском округе),***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/530088,,,#Н/Д,1929.0,,,,+++++,,flibusta.is,184
3*100,-,Маришин_Михаил_1._Дизель_решает_всё.txt,Маришин Михаил,1. Дизель решает всё,1929,Маришин Михаил,1. Дизель решает всё,Реинкарнация победы (Звоночек),"Один телефонный звонок и история катится по другому пути. Мог ли наш современник Семен Любимов подумать, что эти слова станут для него актуальны? Став из-за абсолютно невероятной случайности виновником разрушения собственной реальности, герой видит катастрофические для него последствия его вмешательства - СССР, лишившись одного из главных факторов Победы, разрушен сокрушительным ударом гитлеровского Рейха. План 'Ост' доведен до своего логического завершения и к началу двадцать первого века коренного населения на территории Европейской России практически не осталось. Осознав произошедшее, Семен отправляется в прошлое, в точку изменения реальности, и вступает в борьбу за то, чтобы вернуть историю в изначальное русло. На дворе СССР конца двадцатых годов, индустриализация и коллективизация стоят первыми пунктами в повестке дня.",****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/358506,,,#Н/Д,1929.0,,,,+++++,,flibusta.is,303
3.5*44,-,Маришин_Михаил_2._Вместо_сердца_-_пламенный_мотор.txt,Маришин Михаил,2. Вместо сердца - пламенный мотор,1929,Маришин Михаил,2. Вместо сердца - пламенный мотор,Реинкарнация победы (Звоночек),"Один телефонный звонок и история катится по другому пути. Мог ли наш современник Семен Любимов подумать, что эти слова станут для него актуальны? Став из-за абсолютно невероятной случайности виновником разрушения собственной реальности, герой видит катастрофические для него последствия его вмешательства - СССР, лишившись одного из главных факторов Победы, разрушен сокрушительным ударом гитлеровского Рейха. План 'Ост' доведен до своего логического завершения и к началу двадцать первого века коренного населения на территории Европейской России практически не осталось. Осознав произошедшее, Семен отправляется в прошлое, в точку изменения реальности, и вступает в борьбу за то, чтобы вернуть историю в изначальное русло. На дворе СССР конца двадцатых годов, индустриализация и коллективизация стоят первыми пунктами в повестке дня.",****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/562299,,,#Н/Д,1929.0,,,,+++++,,flibusta.is,380
3.3*47,-,Маришин_Михаил_3._Отжимания_и_подтягивания_второй_рукой_потентата.txt,Маришин Михаил,3. Отжимания и подтягивания второй рукой потентата,1929,Маришин Михаил,3. Отжимания и подтягивания второй рукой потентата,Реинкарнация победы (Звоночек),"Один телефонный звонок и история катится по другому пути. Мог ли наш современник Семен Любимов подумать, что эти слова станут для него актуальны? Став из-за абсолютно невероятной случайности виновником разрушения собственной реальности, герой видит катастрофические для него последствия его вмешательства - СССР, лишившись одного из главных факторов Победы, разрушен сокрушительным ударом гитлеровского Рейха. План 'Ост' доведен до своего логического завершения и к началу двадцать первого века коренного населения на территории Европейской России практически не осталось. Осознав произошедшее, Семен отправляется в прошлое, в точку изменения реальности, и вступает в борьбу за то, чтобы вернуть историю в изначальное русло. На дворе СССР конца двадцатых годов, индустриализация и коллективизация стоят первыми пунктами в повестке дня.",****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/457716,,,#Н/Д,1929.0,,,,+++++,,flibusta.is,624
3.2*26,-,Маришин_Михаил_4._За_три_войны_до....txt,Маришин Михаил,4. За три войны до...,1929,Маришин Михаил,4. За три войны до...,Реинкарнация победы (Звоночек),"Один телефонный звонок и история катится по другому пути. Мог ли наш современник Семен Любимов подумать, что эти слова станут для него актуальны? Став из-за абсолютно невероятной случайности виновником разрушения собственной реальности, герой видит катастрофические для него последствия его вмешательства - СССР, лишившись одного из главных факторов Победы, разрушен сокрушительным ударом гитлеровского Рейха. План 'Ост' доведен до своего логического завершения и к началу двадцать первого века коренного населения на территории Европейской России практически не осталось. Осознав произошедшее, Семен отправляется в прошлое, в точку изменения реальности, и вступает в борьбу за то, чтобы вернуть историю в изначальное русло. На дворе СССР конца двадцатых годов, индустриализация и коллективизация стоят первыми пунктами в повестке дня.",****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/562300,,,#Н/Д,1929.0,,,,+++++,,flibusta.is,817
2.3*43,-,Беличенко_Константин_1._Часть_I.txt,Беличенко Константин,1. Часть I,1927,Беличенко Константин,1. Часть I,Контрабандист Сталина,"Довольно-таки беспринципный молодой мужчина проваливается в прошлое и оказывается в другом теле. Казалась бы, его знания о прошлом сейчас ему сильно послужат. Теперь-то он сможет жить как захочет и только в своё полное удовольствие. Но вот только жить ему в новом теле осталось недолго, да ещё и личность раздваивается.",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,ссылка  IMRYK 14/02,,,http://flibusta.is/b/524924,,,#Н/Д,1927.0,,,,+++++,,flibusta.is,387
2.4*16,-,Беличенко_Константин_2._Часть_II.txt,Беличенко Константин,2. Часть II,1927,Беличенко Константин,2. Часть II,Контрабандист Сталина,"Довольно-таки беспринципный молодой мужчина проваливается в прошлое и оказывается в другом теле. Казалась бы, его знания о прошлом сейчас ему сильно послужат. Теперь-то он сможет жить как захочет и только в своё полное удовольствие. Но вот только жить ему в новом теле осталось недолго, да ещё и личность раздваивается.",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,ссылка  IMRYK 14/02,,,http://flibusta.is/b/548499,,,#Н/Д,1927.0,,,,+++++,,flibusta.is,569
2.4*20,-,Беличенко_Константин_3._Часть_III.txt,Беличенко Константин,3. Часть III,1927,Беличенко Константин,3. Часть III,Контрабандист Сталина,"Довольно-таки беспринципный молодой мужчина проваливается в прошлое и оказывается в другом теле. Казалась бы, его знания о прошлом сейчас ему сильно послужат. Теперь-то он сможет жить как захочет и только в своё полное удовольствие. Но вот только жить ему в новом теле осталось недолго, да ещё и личность раздваивается.",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,ссылка  IMRYK 14/02,,,http://flibusta.is/b/571251,,,#Н/Д,1927.0,,,,+++++,,flibusta.is,529
3.7*71,-,Костин_Константин_Ал._Сектант.txt,Костин Константин Ал.,Сектант,1925,Костин Константин Ал.,Сектант,,Реконструктор с мечом и отвратительным знанием истории XX века случайно активирует найденный в сельском музее магичесий артефакт и попадает в сельскую местность большевистской России.,****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/286762,,,#Н/Д,1925.0,,,,+++++,,flibusta.is,691
2.7*35,-,"Каштанов_Михаил,_Хорев_Сергей_1._Рождённый_в_сражениях....txt","Каштанов Михаил, Хорев Сергей",1. Рождённый в сражениях...,1923,"Каштанов Михаил, Хорев Сергей",1. Рождённый в сражениях...,Сослагательное наклонение,"Мир, где развал СССР привел к необратимому развалу России, доллар победил, а основной идеей стала погоня за 'чистоганом'. Каково жить в нем, если ты не хочешь менять идеалы на колбасу из целлюлозы и тысячи или даже миллионы 'жабьих шкурок', если 'за державу обидно', но от тебя при этом ничего не зависит и нет возможности прямо повлиять на жизнь, которая тебя окружает, а бешенство распирает грудь и ненависть убивает душу? Они нашли выход - ушли в прошлое. Ушли, чтобы биться за свою растоптанную и проданную Родину. Или хотя бы прожить жизнь, достойную Человека. И отомстить. Они ушли, унеся с собой величайшие открытия - дорогу сквозь время и возможность продления человеческой жизни.",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/471847,,,#Н/Д,1923.0,,,,+++++,,flibusta.is,466
1.6*9,-,"Каштанов_Михаил,_Хорев_Сергей_2._Союз_нерушимый.txt","Каштанов Михаил, Хорев Сергей",2. Союз нерушимый,1923,"Каштанов Михаил, Хорев Сергей",2. Союз нерушимый,Сослагательное наклонение,"Мир, где развал СССР привел к необратимому развалу России, доллар победил, а основной идеей стала погоня за 'чистоганом'. Каково жить в нем, если ты не хочешь менять идеалы на колбасу из целлюлозы и тысячи или даже миллионы 'жабьих шкурок', если 'за державу обидно', но от тебя при этом ничего не зависит и нет возможности прямо повлиять на жизнь, которая тебя окружает, а бешенство распирает грудь и ненависть убивает душу? Они нашли выход - ушли в прошлое. Ушли, чтобы биться за свою растоптанную и проданную Родину. Или хотя бы прожить жизнь, достойную Человека. И отомстить. Они ушли, унеся с собой величайшие открытия - дорогу сквозь время и возможность продления человеческой жизни.",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/558478,,,#Н/Д,1923.0,,,,+++++,,flibusta.is,612
3.4*133,-,Колганов_Андрей_1._Жернова_истории.txt,Колганов Андрей,1. Жернова истории,1923,Колганов Андрей,1. Жернова истории,Жернова истории,"Попаданец в начальника отдела в наркомате внешней торговли Виктора Осецкого. Вроде бы можно сравнительно неплохо устроиться и безбедно жить-поживать на далеко не маленькую зарплату. Но он знает, что впереди 'великий перелом', 'большой террор' и Великая Отечественная, и изо всех сил пытается стать той песчинкой в жерновах истории, которая способна приостановить их неумолимое вращение. Вот только что сделают жернова с этой песчинкой?",****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/285629,,,#Н/Д,1923.0,,,,+++++,,flibusta.is,510
3.8*50,-,Колганов_Андрей_2._Ветер_перемен.txt,Колганов Андрей,2. Ветер перемен,1923,Колганов Андрей,2. Ветер перемен,Жернова истории,"Попаданец в начальника отдела в наркомате внешней торговли Виктора Осецкого. Вроде бы можно сравнительно неплохо устроиться и безбедно жить-поживать на далеко не маленькую зарплату. Но он знает, что впереди 'великий перелом', 'большой террор' и Великая Отечественная, и изо всех сил пытается стать той песчинкой в жерновах истории, которая способна приостановить их неумолимое вращение. Вот только что сделают жернова с этой песчинкой?",****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/522495,,,#Н/Д,1923.0,,,,+++++,,flibusta.is,511
3.9*32,-,Колганов_Андрей_3._Жернова_истории_-_3.txt,Колганов Андрей,3. Жернова истории - 3,1923,Колганов Андрей,3. Жернова истории - 3,Жернова истории,"Попаданец в начальника отдела в наркомате внешней торговли Виктора Осецкого. Вроде бы можно сравнительно неплохо устроиться и безбедно жить-поживать на далеко не маленькую зарплату. Но он знает, что впереди 'великий перелом', 'большой террор' и Великая Отечественная, и изо всех сил пытается стать той песчинкой в жерновах истории, которая способна приостановить их неумолимое вращение. Вот только что сделают жернова с этой песчинкой?",****,4,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/462765,,,#Н/Д,1923.0,,,,+++++,,flibusta.is,538
3.1*9,-,Колганов_Андрей_4._Жернова_истории_-_4.txt,Колганов Андрей,4. Жернова истории - 4,1923,Колганов Андрей,4. Жернова истории - 4,Жернова истории,"Попаданец в начальника отдела в наркомате внешней торговли Виктора Осецкого. Вроде бы можно сравнительно неплохо устроиться и безбедно жить-поживать на далеко не маленькую зарплату. Но он знает, что впереди 'великий перелом', 'большой террор' и Великая Отечественная, и изо всех сил пытается стать той песчинкой в жерновах истории, которая способна приостановить их неумолимое вращение. Вот только что сделают жернова с этой песчинкой?",****,4,застой,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/462764,,,#Н/Д,1923.0,,,,+++++,,flibusta.is,324
3.3*69,-,Макс_Мах_Командарм.txt,Макс Мах,Командарм,1921,Макс Мах,Командарм,,"1921 год. В госпитале для инвалидов войны пришел в себя 'убитый' в марте 1920 года командующий Восьмой армией Максим Кравцов. Бывший эсер и штабс-капитан царской армии, бывший член ЦК ВКП(б), лично знакомый с Лениным и половиной героев Гражданской воны, и сам награжденный двумя орденами Красного Знамени...",****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/554027,,,#Н/Д,1921.0,,,,+++++,,flibusta.is,961
3.5*94,-,Башибузук_Александр_1._Его_Высокоблагородие.txt,Башибузук Александр,1. Его Высокоблагородие,1920,Башибузук Александр,1. Его Высокоблагородие,Эмигрант,Попадание в белого офицера эмигрировавшего в Турцию из Крыма.,****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/536055,,,#Н/Д,1920.0,,,,+++++,,flibusta.is,432
3*64,-,Башибузук_Александр_2._Господин_поручик.txt,Башибузук Александр,2. Господин поручик,1920,Башибузук Александр,2. Господин поручик,Эмигрант,Попадание в белого офицера эмигрировавшего в Турцию из Крыма.,****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/554471,,,#Н/Д,1920.0,,,,+++++,,flibusta.is,383
3.3*63,-,Евграшин_Иван_1._Стальной_лев._За_Родину!_За_Троцкого!.txt,Евграшин Иван,1. Стальной лев. За Родину! За Троцкого!,1918,Евграшин Иван,1. Стальной лев. За Родину! За Троцкого!,Стальной лев революции,Наш современник попадает в тело Троцкого времен гражданской войны.,***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/236778,,,#Н/Д,1918.0,,,,+++++,,flibusta.is,416
3.5*37,-,Евграшин_Иван_2._Стальной_лев._Восток.txt,Евграшин Иван,2. Стальной лев. Восток,1918,Евграшин Иван,2. Стальной лев. Восток,Стальной лев революции,Наш современник попадает в тело Троцкого времен гражданской войны.,***,3,застой,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/237187,,,#Н/Д,1918.0,,,,+++++,,flibusta.is,385
3.8*14,-,Валентинов_Андрей_Нуар.txt,Валентинов Андрей,Нуар,1917,Валентинов Андрей,Нуар,,"Наш современник попадает в 17-й год, воюет за белых. Играет в шпионские игры во французском сопротивлении во 2-й МВ.",****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/353673,,,#Н/Д,1917.0,,,,+++++,,flibusta.is,529
3.4*85,-,Валерин_Михаил_Если_судьба_выбирает_нас.txt,Валерин Михаил,Если судьба выбирает нас,1917,Валерин Михаил,Если судьба выбирает нас,,Наш современник переносится в май 1917 года в тело юного прапорщика. Идет Мировая война.,****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/264410,,,#Н/Д,1917.0,,,,+++++,,flibusta.is,754
2.5*29,-,Мамонтов_Кирилл_Хронокорректоры.txt,Мамонтов Кирилл,Хронокорректоры,1917,Мамонтов Кирилл,Хронокорректоры,,"Чтобы спасти будущее, придется изменить прошлое. Чтобы отменить катастрофическую войну 'за русское наследство' в начале двадцать четвертого века, нужно отменить Гражданскую войну в России в веке двадцатом. Выполнить это задание должны инженер из 2010 года и физик из 1981-го, давно страдающие навязчивой идеей оптимизировать отечественную историю.",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/286308,,,#Н/Д,1917.0,,,,+++++,,flibusta.is,621
2.6*13,-,Логачев_Александр_Красный_терминатор._Дорога_как_судьба.txt,Логачев Александр,Красный терминатор. Дорога как судьба,1915,Логачев Александр,Красный терминатор. Дорога как судьба,,"Жизнь 'черного археолога' полна опасностей. Незаконные раскопки могут завести далеко, очень далеко, например... в прошлое. И хорошо бы забросило в тихий уютный мир. Так нет - в самое полымя, в историческое лихолетье. И носило героя от выжженных полей империалистической войны до революционной Москвы. И везде приходилось несладко. Как можно не потерять себя в такой круговерти, не лишиться присутствия духа и просто выжить, тем более если ты человек из другой эпохи?! Трудно... Но можно. Можно и врагов одолеть, и влюбить в себя дочь помещика, и спасти достояние республики. А главное - найти свое место в те трудные годы, когда ковалась наша история, когда становилась Империя наших дедов и отцов.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/69631,,,#Н/Д,1915.0,,,,+++++,,flibusta.is,660
3.9*33,-,Элтон_Бен_Время_и_снова_время..txt,Элтон Бен,Время и снова время.,1914,Элтон Бен,Время и снова время.,,"Бывший спецназовец отправляется в 1914 год, чтобы предотвратить первую мировую войну.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/434881,,,#Н/Д,1914.0,,,,+++++,,flibusta.is,264
2.2*104,-,"Авраменко_Александр,_Тонина_Ольга_Товарищ_император.txt","Авраменко Александр, Тонина Ольга",Товарищ император,1913,"Авраменко Александр, Тонина Ольга",Товарищ император,,"Если в течение определённого срока во времена жуткого СССР у военных прекращалась связь с вышестоящими инстанциями, в дело вступал план 'Тайфун 768'. А говоря проще - нанесение ОТВЕТНОГО ядерного удара по противнику, автоматически становящемуся из вероятного настоящим. Именно это и произошло в ночь с восьмого на девятое мая тысяча девятьсот семьдесят восьмого года. Северный флот СССР выполнил инструкцию с точностью до запятой. Но... Кто мог предположить, что ракеты ударят по целям в 1913 году?! Да никто! Злая шутка Судьбы. Мир вздрогнул, чтобы измениться и уже никогда не стать прежним. А там... Пошло, поѓехало! Но что стало причиной переноса целой области времён развитого социализма? Прочтите - и узнаете.",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/214686,,,#Н/Д,1913.0,,,,+++++,,flibusta.is,733
1.8*4,-,Ландау_Меир_Вернуться_на_'Титаник'.txt,Ландау Меир,Вернуться на 'Титаник',1912,Ландау Меир,Вернуться на 'Титаник',,"10 апреля 1912 года на борт поднялся инженер Фредерик Гудвин со своей семьёй. Семья Гудвинов покинула Британию, когда учёный занимался изучением свойств подвижного магнитного поля. Результатом работы Гудвина стало изобретение машины времени. В ночь крушения 'Титаника' Фредерик Гудвин, его жена и дети погибают. Спастись удаётся только девятилетнему Гарольду. Спустя много лет Гарольд завершает работу своего отца. Появление неожиданного гостя с 'Титаника' заставляет его вернуться в 1912 год.",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/531815,,,#Н/Д,1912.0,,,,+++++,,flibusta.is,483
2.4*44,-,"Каменский_Юрий,_Каменская_Вера_Чиновник_для_особых_поручений.txt","Каменский Юрий, Каменская Вера",Чиновник для особых поручений,1911,"Каменский Юрий, Каменская Вера",Чиновник для особых поручений,,"Старший лейтенант милиции, угодив, ненароком, в 1911 год решает, для начала, спасти от пули анархиста Богрова премьер-министра Столыпина.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/556772,,,#Н/Д,1911.0,,,,+++++,,flibusta.is,592
4.1*80,-,Курылев_Олег_Убить_фюрера.txt,Курылев Олег,Убить фюрера,1911,Курылев Олег,Убить фюрера,,"Два сотрудника российского Института исторических исследований, Савва Каратаев и Вадим Нижегородский, после очередного перемещения в прошлое при помощи машины времени застревают в Европе незадолго до начала Первой мировой войны. Поначалу они пытаются составить капитал, делая крупные ставки на заранее известных им победителей скачек и выигрышные номера в казино, а затем начинают все активнее участвовать в мировой политике и знаменитых исторических событиях. Однако вскоре выясняется, что вмешательство в ткань прошлого может привести к самым катастрофическим последствиям - особенно когда на западе Европы вот-вот начнут маршировать нацистские полчища...",****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/290698,,,#Н/Д,1911.0,,,,+++++,,flibusta.is,842
2*31,-,Карасов_Алексей_Разгильдяй.txt,Карасов Алексей,Разгильдяй,1908,Карасов Алексей,Разгильдяй,,"Попаданец, многие считают его вором и негодяем, а на самом деле, честнейшей души человек, почуял начало войны, развязываемой англичанами. Для умного человека война всегда горе, а идиоты английские аристократы считают войну необходимой. Попаданец решается зарезать тысячи англичан, ради предотвращения мировой бойни.",**,2,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/310494,,,#Н/Д,1908.0,,,,+++++,,flibusta.is,275
2.2*12,-,Жирков_Леонид_1._Счастливчик.txt,Жирков Леонид,1. Счастливчик,1906,Жирков Леонид,1. Счастливчик,Счастливчик,"Очередной попаданец, в очередной раз пытается спасти Россию.",**,2,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/192281,,,#Н/Д,1906.0,,,,+++++,,flibusta.is,457
1.8*13,-,Годына_Сергей_Последний_парад_наступает!_Наша_победа_при_Цусиме.txt,Годына Сергей,Последний парад наступает! Наша победа при Цусиме,1904,Годына Сергей,Последний парад наступает! Наша победа при Цусиме,,"Цусимское сражение принято считать величайшей трагедией российского флота за всю его историю. Оно поставило жирную точку в Русско-Японской войне 1904-1905гг. Действительно, примеров столь сокрушительных разгромов в военно-морской истории не так уж и много. Сейчас принято считать, ч то русская эскадра была обречена, и ни какие действия командующего были не способны предотвратить катастрофу. Многие уважаемые историки исследовали различные варианты развития этого сражения, и максимум чего удается добиться - это уменьшение потерь в кораблях. Но вырвать победу у японского флота даже сейчас кажется не мыслимым. Но что бы изменилось, если в тела трех участников Цусимского сражения, включая адмирала Рожественского, вселились наши современники? Ведь люди из XXI века имеют уникальные знания опережающие на сто лет свое время! Они вооружены опытом войн которых еще не было на 100 лет вперед. Они неподвластны стереотипам мышления начала ХХ века. Как бы тогда изменился ход знаменитой битвы ставшей именем нарицательным? Эта книга повествует о том, как несколько человек из нашей реальности попадают в тела видных российских государственных деятелей в 1905 году перед самой Цусимской битвой. Эти люди оставляют все что им дорого в прошлой реальности, и с увлечением начинают строить новый мир на рубеже веков. Они движимы лишь самыми светлыми чувствами, самим настоящим патриотизмом, и им чужда жажда собственной наживы, столь характерная для Российских высших кругов как в начале ХХ так и в начале XXI века. Этим людям предстоит пройти море испытаний. Им предстоит сделать Россию самой мощной державой в мире, и провести ее через несколько войн, включая первую мировую. Но это все еще впереди. Сейчас их ждет одно из самых важных сражений в российской истории начала ХХ века - битва двух исполинских флотов близ острова Цусима. Новая реальность покажет, есть ли шанс у людей свято любящих свою Родину изменить законы истории...",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/397263,,,#Н/Д,1904.0,,,,+++++,,flibusta.is,252
2.1*18,-,Дешкин_Игорь_1._Спасти_Адмирала.txt,Дешкин Игорь,1. Спасти Адмирала,1904,Дешкин Игорь,1. Спасти Адмирала,И никто кроме нас,"Научный прогресс идет вперед, а если ученые проведут эксперимент, не изучив всех 'побочных' эффектов? Эксперимент с группой кораблей ТОФ приводит к катастрофе. Они умерли для всех, пропали в боевом походе. Родные и близкие их похоронили. А они, несколько сотен офицеров, матросов, ученых и техников, воюют. Воюют за Россию. И неважно как она называется - Российская империя или Советский Союз, княжество, царство или федерация, Родина у нас одна и она воюет, значит и мы должны выступить в ее защиту. Все остальное потом, обустроиться, обжиться можно и после войны, а сейчас... Сейчас главное - победить!",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/523299,,,#Н/Д,1904.0,,,,+++++,,flibusta.is,582
4*95,-,Дойников_Глеб_1._'Варяг'_-_победитель.txt,Дойников Глеб,1. 'Варяг' - победитель,1904,Дойников Глеб,1. 'Варяг' - победитель,Варяг,"Попаданец в тело капитана ""Варяга"" Руднева плюс три соратника - со-пападанца.",****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,"не стал убирать флибусту, больше нигде не нашел Ivlaoox 15/02/23",,,http://flibusta.is/b/256784,,,#Н/Д,1904.0,,,,+++++,,flibusta.is,572
3.9*65,-,Дойников_Глеб_2._'Все_по_местам!'_Возвращение_'Варяга'.txt,Дойников Глеб,2. 'Все по местам!' Возвращение 'Варяга',1904,Дойников Глеб,2. 'Все по местам!' Возвращение 'Варяга',Варяг,"Попаданец в тело капитана ""Варяга"" Руднева плюс три соратника - со-пападанца.",****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/256785,,,#Н/Д,1904.0,,,,+++++,,flibusta.is,446
3.4*37,-,Дойников_Глеб_3._'Пощады_никто_не_желает!'_АнтиЦУСИМА.txt,Дойников Глеб,3. 'Пощады никто не желает!' АнтиЦУСИМА,1904,Дойников Глеб,3. 'Пощады никто не желает!' АнтиЦУСИМА,Варяг,"Попаданец в тело капитана ""Варяга"" Руднева плюс три соратника - со-пападанца.",****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/280255,,,#Н/Д,1904.0,,,,+++++,,flibusta.is,249
1.9*15,-,"Кулькин_Александр,_Инодин_Николай_Замочить_Того,_стирать_без_отжима.txt","Кулькин Александр, Инодин Николай","Замочить Того, стирать без отжима",1904,"Кулькин Александр, Инодин Николай","Замочить Того, стирать без отжима",,Еще одна попытка переиграть РЯВ.,***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/503319,,,#Н/Д,1904.0,,,,+++++,,flibusta.is,415
3.7*154,-,Лысак_Сергей_1._Поднять_перископ.txt,Лысак Сергей,1. Поднять перископ,1904,Лысак Сергей,1. Поднять перископ,Поднять перископ!,"Бывший офицер Российского флота, а впоследствии один из 'мальчиков Деница' возвращается в свою юность, строит первую подводную лодку, воюет с японцами и англичанами.",****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/302650,,,#Н/Д,1904.0,,,,+++++,,flibusta.is,233
3.7*56,-,Лысак_Сергей_2._У_чужих_берегов.txt,Лысак Сергей,2. У чужих берегов ,1904,Лысак Сергей,2. У чужих берегов ,Поднять перископ!,"Бывший офицер Российского флота, а впоследствии один из 'мальчиков Деница' возвращается в свою юность, строит первую подводную лодку, воюет с японцами и англичанами.",****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/304795,,,#Н/Д,1904.0,,,,+++++,,flibusta.is,244
3.7*70,-,Лысак_Сергей_3._Под_Андреевским_флагом.txt,Лысак Сергей,3. Под Андреевским флагом,1904,Лысак Сергей,3. Под Андреевским флагом,Поднять перископ!,"Бывший офицер Российского флота, а впоследствии один из 'мальчиков Деница' возвращается в свою юность, строит первую подводную лодку, воюет с японцами и англичанами.",****,4,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/304778,,,#Н/Д,1904.0,,,,+++++,,flibusta.is,266
2.8*57,-,"Михайловский_Александр,_Харников_Александр_1._Рандеву_с_'Варягом'.txt","Михайловский Александр,  Харников Александр",1. Рандеву с 'Варягом',1904,"Михайловский Александр,  Харников Александр",1. Рандеву с 'Варягом',Рандеву с «Варягом»,Некими высшими силами эскадра под управлением адмирала Ларионова клонируется и одна из копий попадает в Желтое море 9 февраля 1904 г. и идет в Чемульпо.,***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/377239,,,#Н/Д,1904.0,,,,+++++,,flibusta.is,561
3.1*40,-,"Михайловский_Александр,_Харников_Александр_2._Петербургский_рубеж.txt","Михайловский Александр,  Харников Александр",2. Петербургский рубеж,1904,"Михайловский Александр,  Харников Александр",2. Петербургский рубеж,Рандеву с «Варягом»,Некими высшими силами эскадра под управлением адмирала Ларионова клонируется и одна из копий попадает в Желтое море 9 февраля 1904 г. и идет в Чемульпо.,***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/385039,,,#Н/Д,1904.0,,,,+++++,,flibusta.is,559
